"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 08:56:28 GMT 2025","Tue Oct 14 08:56:30 GMT 2025","1962","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"passed","Tue Oct 14 08:55:58 GMT 2025","Tue Oct 14 08:56:00 GMT 2025","2595","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:56:50 GMT 2025","Tue Oct 14 08:56:52 GMT 2025","1817","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"passed","Tue Oct 14 08:56:08 GMT 2025","Tue Oct 14 08:56:17 GMT 2025","9074","tests.authentification","test_authorization","TestAuthorization","","","User login with correct email and password",""
"passed","Tue Oct 14 08:56:31 GMT 2025","Tue Oct 14 08:56:33 GMT 2025","1817","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"passed","Tue Oct 14 08:56:08 GMT 2025","Tue Oct 14 08:56:10 GMT 2025","1936","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:56:24 GMT 2025","Tue Oct 14 08:56:27 GMT 2025","2474","tests.authentification","test_registration","TestRegistration","","","Registration with correct email , username and password",""
"passed","Tue Oct 14 08:56:34 GMT 2025","Tue Oct 14 08:56:39 GMT 2025","5322","tests.courses","test_courses","TestCourses","","","Create course",""
"passed","Tue Oct 14 08:56:14 GMT 2025","Tue Oct 14 08:56:16 GMT 2025","1440","tests.authentification","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"passed","Tue Oct 14 08:56:01 GMT 2025","Tue Oct 14 08:56:03 GMT 2025","2098","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:55:51 GMT 2025","Tue Oct 14 08:55:52 GMT 2025","1435","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:56:12 GMT 2025","Tue Oct 14 08:56:14 GMT 2025","1714","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:55:49 GMT 2025","Tue Oct 14 08:55:50 GMT 2025","1411","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:56:32 GMT 2025","Tue Oct 14 08:56:34 GMT 2025","2254","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"passed","Tue Oct 14 08:55:55 GMT 2025","Tue Oct 14 08:55:57 GMT 2025","2672","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:56:05 GMT 2025","Tue Oct 14 08:56:06 GMT 2025","1815","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:56:16 GMT 2025","Tue Oct 14 08:56:18 GMT 2025","1932","tests.authentification","test_registration","TestRegistration","","","Registration with correct email , username and password",""
"passed","Tue Oct 14 08:56:19 GMT 2025","Tue Oct 14 08:56:21 GMT 2025","2131","tests.authentification","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"passed","Tue Oct 14 08:55:47 GMT 2025","Tue Oct 14 08:55:56 GMT 2025","8962","tests.authentification","test_authorization","TestAuthorization","","","User login with correct email and password",""
"passed","Tue Oct 14 08:56:43 GMT 2025","Tue Oct 14 08:56:45 GMT 2025","2041","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"passed","Tue Oct 14 08:56:47 GMT 2025","Tue Oct 14 08:56:50 GMT 2025","2178","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"passed","Tue Oct 14 08:55:56 GMT 2025","Tue Oct 14 08:56:06 GMT 2025","10176","tests.authentification","test_authorization","TestAuthorization","","","User login with correct email and password",""
"passed","Tue Oct 14 08:55:47 GMT 2025","Tue Oct 14 08:55:48 GMT 2025","1821","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:56:22 GMT 2025","Tue Oct 14 08:56:25 GMT 2025","2440","tests.authentification","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"passed","Tue Oct 14 08:56:19 GMT 2025","Tue Oct 14 08:56:22 GMT 2025","3802","tests.authentification","test_registration","TestRegistration","","","Registration with correct email , username and password",""
"passed","Tue Oct 14 08:56:43 GMT 2025","Tue Oct 14 08:56:47 GMT 2025","4672","tests.courses","test_courses","TestCourses","","","Create course",""
"passed","Tue Oct 14 08:56:35 GMT 2025","Tue Oct 14 08:56:41 GMT 2025","6025","tests.courses","test_courses","TestCourses","","","Create course",""
