"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 08:43:34 GMT 2025","Tue Oct 14 08:43:35 GMT 2025","1707","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"passed","Tue Oct 14 08:43:23 GMT 2025","Tue Oct 14 08:43:24 GMT 2025","1710","tests.authentification","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"passed","Tue Oct 14 08:43:49 GMT 2025","Tue Oct 14 08:43:56 GMT 2025","6343","tests.courses","test_courses","TestCourses","","","Create course",""
"passed","Tue Oct 14 08:43:00 GMT 2025","Tue Oct 14 08:43:11 GMT 2025","10905","tests.authentification","test_authorization","TestAuthorization","","","User login with correct email and password",""
"passed","Tue Oct 14 08:43:23 GMT 2025","Tue Oct 14 08:43:25 GMT 2025","1707","tests.authentification","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"passed","Tue Oct 14 08:43:28 GMT 2025","Tue Oct 14 08:43:31 GMT 2025","3539","tests.authentification","test_registration","TestRegistration","","","Registration with correct email , username and password",""
"passed","Tue Oct 14 08:43:27 GMT 2025","Tue Oct 14 08:43:29 GMT 2025","2065","tests.authentification","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"passed","Tue Oct 14 08:42:49 GMT 2025","Tue Oct 14 08:42:59 GMT 2025","9352","tests.authentification","test_authorization","TestAuthorization","","","User login with correct email and password",""
"passed","Tue Oct 14 08:43:41 GMT 2025","Tue Oct 14 08:43:48 GMT 2025","6949","tests.courses","test_courses","TestCourses","","","Create course",""
"passed","Tue Oct 14 08:43:51 GMT 2025","Tue Oct 14 08:43:53 GMT 2025","2794","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"passed","Tue Oct 14 08:43:12 GMT 2025","Tue Oct 14 08:43:22 GMT 2025","9572","tests.authentification","test_authorization","TestAuthorization","","","User login with correct email and password",""
"passed","Tue Oct 14 08:43:37 GMT 2025","Tue Oct 14 08:43:39 GMT 2025","1796","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"passed","Tue Oct 14 08:42:52 GMT 2025","Tue Oct 14 08:42:54 GMT 2025","1725","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:43:11 GMT 2025","Tue Oct 14 08:43:13 GMT 2025","2289","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:43:03 GMT 2025","Tue Oct 14 08:43:06 GMT 2025","2748","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:42:54 GMT 2025","Tue Oct 14 08:42:56 GMT 2025","1430","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:43:39 GMT 2025","Tue Oct 14 08:43:45 GMT 2025","5809","tests.courses","test_courses","TestCourses","","","Create course",""
"passed","Tue Oct 14 08:44:00 GMT 2025","Tue Oct 14 08:44:02 GMT 2025","2202","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"passed","Tue Oct 14 08:43:25 GMT 2025","Tue Oct 14 08:43:27 GMT 2025","2351","tests.authentification","test_registration","TestRegistration","","","Registration with correct email , username and password",""
"passed","Tue Oct 14 08:43:56 GMT 2025","Tue Oct 14 08:43:59 GMT 2025","2727","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"passed","Tue Oct 14 08:43:07 GMT 2025","Tue Oct 14 08:43:09 GMT 2025","2490","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:43:37 GMT 2025","Tue Oct 14 08:43:39 GMT 2025","2272","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"passed","Tue Oct 14 08:43:31 GMT 2025","Tue Oct 14 08:43:34 GMT 2025","2647","tests.authentification","test_registration","TestRegistration","","","Registration with correct email , username and password",""
"passed","Tue Oct 14 08:42:49 GMT 2025","Tue Oct 14 08:42:51 GMT 2025","2161","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:43:00 GMT 2025","Tue Oct 14 08:43:03 GMT 2025","2762","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:43:19 GMT 2025","Tue Oct 14 08:43:21 GMT 2025","2062","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Tue Oct 14 08:43:15 GMT 2025","Tue Oct 14 08:43:17 GMT 2025","1995","tests.authentification","test_authorization","TestAuthorization","","","User login with wrong email or password",""
